Step|^||^|Harvest|^|18|^|2|^|NR_18628
Step|^||^|Lysis|^|19|^|2|^|NR_18628
Step|^||^|UF1|^|20|^|2|^|NR_18628
Step|^||^|TMAE|^|21|^|2|^|NR_18628
Step|^||^|UF2|^|22|^|2|^|NR_18628
Step|^||^|Circular Final Filtration|^|23|^|2|^|NR_18628
Step|^||^|Linearization|^|24|^|2|^|NR_18628
Step|^||^|UF3|^|25|^|2|^|NR_18628
Step|^||^|Linear Final Filtration|^|26|^|2|^|NR_18628
Date|^||^|01-AUG-2023|^|18|^|3|^|NR_18629
Date|^||^|02-AUG-2023|^|19|^|3|^|NR_18629
Date|^||^|03-AUG-2023|^|20|^|3|^|NR_18629
Date|^||^|04-AUG-2023|^|21|^|3|^|NR_18629
Date|^||^|05-AUG-2023|^|22|^|3|^|NR_18629
Date|^||^|06-AUG-2023|^|23|^|3|^|NR_18629
Date|^||^|07-AUG-2023|^|24|^|3|^|NR_18629
Date|^||^|08-AUG-2023|^|25|^|3|^|NR_18629
Date|^||^|09-AUG-2023|^|26|^|3|^|NR_18629

