EL4317|^|D1800033|^|<= 45.0%|^|iCE|^|Acidic Species|^|25.1
EL4317|^|D1800033|^|Meets compendial requirements|^|Subvisible Particles|^|TFPI_PARTICULATE_MATTER_USP788_Particulate Matter_|^|Meets compendial requirements
EL4317|^|D1800033|^|Not more intensely colored than level 3 of the brown color standard|^|Appearance (Coloration)|^|Appearance (Coloration)|^|<=B6
EL4317|^|D1800033|^|Essentially free from visible particulates|^|Appearance (Visible Particulates)|^|Appearance (Visible Particulates)|^|Essentially free from visible particulates
EL4317|^|D1800033|^|<= 20.0%|^|iCE|^|Basic Species|^|6.6
EL4317|^|D1800033|^|Report Results (N)|^|BLEF|^|Break Loose Force|^|6.0
EL4317|^|D1800033|^|Comparable to Reference Material|^|iCE|^|Charge Heterogeneity|^|Comparable to Reference Material
EL4317|^|D1800033|^|Not less than labeled volume|^|Extractable Volume|^|Container Content for Injections|^|Not less than labeled volume
EL4317|^|D1800033|^|<= 0.125 EU/mg|^|Endotoxin|^|Endotoxin|^|NMT 0.067
EL4317|^|D1800033|^|Report Results (N)|^|BLEF|^|Extrusion Force|^|11.5
EL4317|^|D1800033|^|<= 5.0% fragments|^|CGE (Reducing)|^|Fragments|^|0.7
EL4317|^|D1800033|^|>= 93.0% IgG as heavy + light chain|^|CGE (Reducing)|^|Heavy Chain and Light Chain|^|97.3
EL4317|^|D1800033|^|<= 4.0% HMMS|^|SE-HPLC|^|HMMS|^|0.7
EL4317|^|D1800033|^|>= 90.0% IgG|^|CGE (Non-reducing)|^|Intact IgG|^|97.3
EL4317|^|D1800033|^|>= 40.0%|^|iCE|^|Main Species|^|68.3
EL4317|^|D1800033|^|Report Results (N)|^|BLEF|^|Maximum Force|^|11.8
EL4317|^|D1800033|^|Report Results (%)|^|Peptide Map|^|Methionine Oxidation|^|1.9
EL4317|^|D1800033|^|>= 95.0% monomer|^|SE-HPLC|^|Monomer|^|99.2
EL4317|^|D1800033|^|425 ± 75 mOsm/kg|^|Osmolality|^|Osmolality|^|409
EL4317|^|D1800033|^|Comparable to Reference|^|Peptide Mapping|^|Peptide Profile|^|Comparable to Reference
