PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Biological Activity (Binding ELISA)|^|TM100010582|^|Relative Potency|^|Relative Potency|^|Relative Potency|^|107|^|%|^|60 - 140% potency relative to reference material|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|CGE (non-reducing)|^|TM100004959|^|IgG % Time Corrected Area|^|Intact IgG|^|Intact IgG|^|97.1|^|%|^|>= 90.0% IgG|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|CGE (reducing)|^|M00143|^|Sum HC and LC|^|Heavy Chain + Light Chain|^|Heavy Chain + Light Chain|^|99.0|^|%|^|>= 90.0% IgG as heavy + light chain|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|CGE (reducing)|^|M00143|^|Percent Fragment|^|Fragments|^|Fragments|^|0.4|^|%|^|<= 10.0%|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Appearance (Coloration)|^|TM100002052|^|Color|^|Coloration|^|Coloration|^|<=B8|^||^|Not more intensely colored than level 3 of the Brown-Yellow (BY) or Brown (B) color standard|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Protein Concentration (UV)|^|TM100001962|^|Protein Concentration - Average|^|Protein Concentration|^|Protein Concentration|^|105.2|^|mg/mL|^|96.0 - 120.0 mg/mL|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Charge Isoforms (iCE)|^|TM100006815|^|% Main Peak|^|% Main Peak|^|% Main Peak|^|52.4|^|%|^|Report Results|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Charge Isoforms (iCE)|^|TM100006815|^|% Acidic Species|^|% Acidic Species|^|% Acidic Species|^|39.9|^|%|^|Report Results|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Charge Isoforms (iCE)|^|TM100006815|^|% Basic Species|^|% Basic Species|^|% Basic Species|^|7.7|^|%|^|Report Results|^|Results|^|Time (Months)
PF-07261271|^|PF-07261271 Drug Substance, 105 g/L, Andover|^|API|^|22W533M101|^|PF-07261271:2-005|^|BASE|^|-20C|^|MONTH_01|^|1 Month|^|1|^|Charge Isoforms (iCE)|^|TM100006815|^|Identity|^|Charge isoforms|^|Charge isoforms|^|Comparable to Reference Material|^||^|Comparable to Reference Material|^|Results|^|Time (Months)
