48|^|BIOLOGICAL ACTIVITY (BINDING ELISA)___RELATIVE POTENCY|^|"[{""Name"":""Biological Activity (Binding ELISA)"",""Label"":""Biological Activity (Binding ELISA)""},{""Name"":""Relative Potency"",""Label"":""Relative Potency""}]"
49|^|CGE (NON-REDUCING)___INTACT IGG|^|"[{""Name"":""CGE (non-reducing)"",""Label"":""CGE (non-reducing)""},{""Name"":""Intact IgG"",""Label"":""Intact IgG""}]"
50|^|CGE (REDUCING)___HEAVY CHAIN + LIGHT CHAIN|^|"[{""Name"":""CGE (reducing)"",""Label"":""CGE (reducing)""},{""Name"":""Heavy Chain + Light Chain"",""Label"":""Heavy Chain + Light Chain""}]"
51|^|CGE (REDUCING)___FRAGMENTS|^|"[{""Name"":""CGE (reducing)"",""Label"":""CGE (reducing)""},{""Name"":""Fragments"",""Label"":""Fragments""}]"
52|^|APPEARANCE (COLORATION)___COLORATION|^|"[{""Name"":""Appearance (Coloration)"",""Label"":""Appearance (Coloration)""},{""Name"":""Coloration"",""Label"":""Coloration""}]"
53|^|PROTEIN CONCENTRATION (UV)___PROTEIN CONCENTRATION|^|"[{""Name"":""Protein Concentration (UV)"",""Label"":""Protein Concentration (UV)""},{""Name"":""Protein Concentration"",""Label"":""Protein Concentration""}]"
54|^|CHARGE ISOFORMS (ICE)___% MAIN PEAK|^|"[{""Name"":""Charge Isoforms (iCE)"",""Label"":""Charge Isoforms (iCE)""},{""Name"":""% Main Peak"",""Label"":""% Main Peak""}]"
55|^|CHARGE ISOFORMS (ICE)___% ACIDIC SPECIES|^|"[{""Name"":""Charge Isoforms (iCE)"",""Label"":""Charge Isoforms (iCE)""},{""Name"":""% Acidic Species"",""Label"":""% Acidic Species""}]"
56|^|CHARGE ISOFORMS (ICE)___% BASIC SPECIES|^|"[{""Name"":""Charge Isoforms (iCE)"",""Label"":""Charge Isoforms (iCE)""},{""Name"":""% Basic Species"",""Label"":""% Basic Species""}]"
57|^|CHARGE ISOFORMS (ICE)___CHARGE ISOFORMS|^|"[{""Name"":""Charge Isoforms (iCE)"",""Label"":""Charge Isoforms (iCE)""},{""Name"":""Charge isoforms"",""Label"":""Charge isoforms""}]"
58|^|PH___PH|^|"[{""Name"":""pH"",""Label"":""pH""},{""Name"":""pH"",""Label"":""pH""}]"
59|^|SIZE EXCLUSION HPLC___HMMS|^|"[{""Name"":""Size Exclusion HPLC"",""Label"":""Size Exclusion HPLC""},{""Name"":""HMMS"",""Label"":""HMMS""}]"
60|^|APPEARANCE (CLARITY)___CLARITY|^|"[{""Name"":""Appearance (Clarity)"",""Label"":""Appearance (Clarity)""},{""Name"":""Clarity"",""Label"":""Clarity""}]"
138|^|ICE___ACIDIC SPECIES|^|"[{""Name"":""iCE"",""Label"":""iCE""},{""Name"":""Acidic Species"",""Label"":""Acidic Species""}]"
139|^|APPEARANCE (CLARITY)___APPEARANCE (CLARITY)|^|"[{""Name"":""Appearance (Clarity)"",""Label"":""Appearance (Clarity)""},{""Name"":""Appearance (Clarity)"",""Label"":""Appearance (Clarity)""}]"
140|^|APPEARANCE (COLORATION)___APPEARANCE (COLORATION)|^|"[{""Name"":""Appearance (Coloration)"",""Label"":""Appearance (Coloration)""},{""Name"":""Appearance (Coloration)"",""Label"":""Appearance (Coloration)""}]"
141|^|ICE___BASIC SPECIES|^|"[{""Name"":""iCE"",""Label"":""iCE""},{""Name"":""Basic Species"",""Label"":""Basic Species""}]"
142|^|BIOBURDEN___BIOBURDEN|^|"[{""Name"":""Bioburden"",""Label"":""Bioburden""},{""Name"":""Bioburden"",""Label"":""Bioburden""}]"
143|^|ICE___CHARGE HETEROGENEITY|^|"[{""Name"":""iCE"",""Label"":""iCE""},{""Name"":""Charge Heterogeneity"",""Label"":""Charge Heterogeneity""}]"
144|^|ENDOTOXIN___ENDOTOXIN|^|"[{""Name"":""Endotoxin"",""Label"":""Endotoxin""},{""Name"":""Endotoxin"",""Label"":""Endotoxin""}]"
145|^|CGE (REDUCING)___FRAGMENTS|^|"[{""Name"":""CGE (Reducing)"",""Label"":""CGE (Reducing)""},{""Name"":""Fragments"",""Label"":""Fragments""}]"
146|^|CGE (REDUCING)___HEAVY CHAIN AND LIGHT CHAIN|^|"[{""Name"":""CGE (Reducing)"",""Label"":""CGE (Reducing)""},{""Name"":""Heavy Chain and Light Chain"",""Label"":""Heavy Chain and Light Chain""}]"
147|^|SE-HPLC___HMMS|^|"[{""Name"":""SE-HPLC"",""Label"":""SE-HPLC""},{""Name"":""HMMS"",""Label"":""HMMS""}]"
148|^|QPCR DNA ANALYSIS___HOST CELL DNA|^|"[{""Name"":""qPCR DNA Analysis"",""Label"":""qPCR DNA Analysis""},{""Name"":""Host Cell DNA"",""Label"":""Host Cell DNA""}]"
149|^|HCP ELISA___HOST CELL PROTEIN|^|"[{""Name"":""HCP ELISA"",""Label"":""HCP ELISA""},{""Name"":""Host Cell Protein"",""Label"":""Host Cell Protein""}]"
